zone,dropoffCount,LocationID,borough
East Village,25908,79,Manhattan
Clinton East,19506,48,Manhattan
Union Sq,16922,234,Manhattan
Upper East Side North,16523,236,Manhattan
East Chelsea,16507,68,Manhattan
Williamsburg (North Side),16332,255,Brooklyn
Lower East Side,15998,148,Manhattan
Times Sq/Theatre District,15753,230,Manhattan
Murray Hill,15641,170,Manhattan
Midtown Center,15610,161,Manhattan
Upper East Side South,15572,237,Manhattan
Lincoln Square East,15494,142,Manhattan
West Chelsea/Hudson Yards,14758,246,Manhattan
Penn Station/Madison Sq West,14724,186,Manhattan
Gramercy,14476,107,Manhattan
West Village,14454,249,Manhattan
Midtown South,13696,164,Manhattan
Midtown East,13483,162,Manhattan
Lenox Hill West,13255,141,Manhattan
Crown Heights North,13082,61,Brooklyn
TriBeCa/Civic Center,13040,231,Manhattan
JFK Airport,12948,132,Queens
Upper West Side South,12925,239,Manhattan
Yorkville West,12408,263,Manhattan
Midtown North,11727,163,Manhattan
Bushwick South,11621,37,Brooklyn
Greenwich Village South,11048,114,Manhattan
East Williamsburg,11034,80,Brooklyn
Flatiron,11030,90,Manhattan
Astoria,10971,7,Queens
Clinton West,10932,50,Manhattan
Park Slope,10876,181,Brooklyn
Little Italy/NoLiTa,10556,144,Manhattan
Upper West Side North,10467,238,Manhattan
Bushwick North,10280,36,Brooklyn
Sutton Place/Turtle Bay North,10201,229,Manhattan
Kips Bay,10103,137,Manhattan
Williamsburg (South Side),9825,256,Brooklyn
Meatpacking/West Village West,9638,158,Manhattan
LaGuardia Airport,9232,138,Queens
Greenpoint,9079,112,Brooklyn
Garment District,8927,100,Manhattan
Central Harlem North,8898,42,Manhattan
Greenwich Village North,8878,113,Manhattan
UN/Turtle Bay South,8604,233,Manhattan
Lenox Hill East,8590,140,Manhattan
East Harlem North,8566,74,Manhattan
Morningside Heights,8532,166,Manhattan
Bedford,8106,17,Brooklyn
Stuyvesant Heights,8048,225,Brooklyn
SoHo,7999,211,Manhattan
Financial District North,7967,87,Manhattan
Long Island City/Hunters Point,7886,145,Queens
East Harlem South,7827,75,Manhattan
Fort Greene,7647,97,Brooklyn
Central Harlem,7622,41,Manhattan
Yorkville East,7498,262,Manhattan
Flatbush/Ditmas Park,7377,89,Brooklyn
Central Park,7207,43,Manhattan
Clinton Hill,7101,49,Brooklyn
