Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.25104660130171863
75% Corpus,2,0.01,0.31,0.2761627337868897
75% Corpus,2,0.01,0.61,0.2622268554772096
75% Corpus,2,0.01,0.9099999999999999,0.27421947955710935
75% Corpus,2,0.01,symmetric,0.2622268554772096
75% Corpus,2,0.31,0.01,0.25924065462660395
75% Corpus,2,0.31,0.31,0.25924065462660395
75% Corpus,2,0.31,0.61,0.2666354014920077
75% Corpus,2,0.31,0.9099999999999999,0.27421947955710935
75% Corpus,2,0.31,symmetric,0.2666354014920077
75% Corpus,2,0.61,0.01,0.25924065462660395
75% Corpus,2,0.61,0.31,0.25924065462660395
75% Corpus,2,0.61,0.61,0.2666354014920077
75% Corpus,2,0.61,0.9099999999999999,0.27421947955710935
75% Corpus,2,0.61,symmetric,0.2666354014920077
75% Corpus,2,0.9099999999999999,0.01,0.25924065462660395
75% Corpus,2,0.9099999999999999,0.31,0.25924065462660395
75% Corpus,2,0.9099999999999999,0.61,0.2820071861542227
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.29022587954702395
75% Corpus,2,0.9099999999999999,symmetric,0.2704272080318857
75% Corpus,2,symmetric,0.01,0.25924065462660395
75% Corpus,2,symmetric,0.31,0.25924065462660395
75% Corpus,2,symmetric,0.61,0.2666354014920077
75% Corpus,2,symmetric,0.9099999999999999,0.27421947955710935
75% Corpus,2,symmetric,symmetric,0.2666354014920077
75% Corpus,2,asymmetric,0.01,0.2517864469954513
75% Corpus,2,asymmetric,0.31,0.25546636361362196
75% Corpus,2,asymmetric,0.61,0.2418206372306082
75% Corpus,2,asymmetric,0.9099999999999999,0.25796604551193114
75% Corpus,2,asymmetric,symmetric,0.2517864469954513
75% Corpus,3,0.01,0.01,0.31225410031185946
75% Corpus,3,0.01,0.31,0.3058025019210104
75% Corpus,3,0.01,0.61,0.3005013496903062
75% Corpus,3,0.01,0.9099999999999999,0.29700847219713816
75% Corpus,3,0.01,symmetric,0.3058025019210104
75% Corpus,3,0.31,0.01,0.31225410031185946
75% Corpus,3,0.31,0.31,0.3124622065331523
75% Corpus,3,0.31,0.61,0.2980126665583347
75% Corpus,3,0.31,0.9099999999999999,0.29451761704460827
75% Corpus,3,0.31,symmetric,0.29957917231676184
75% Corpus,3,0.61,0.01,0.2976081915306523
75% Corpus,3,0.61,0.31,0.30472846102204093
75% Corpus,3,0.61,0.61,0.291069326797656
75% Corpus,3,0.61,0.9099999999999999,0.2941051945250404
75% Corpus,3,0.61,symmetric,0.30472846102204093
75% Corpus,3,0.9099999999999999,0.01,0.2960031479369741
75% Corpus,3,0.9099999999999999,0.31,0.30796460460999286
75% Corpus,3,0.9099999999999999,0.61,0.3017921435964933
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.3079948881860554
75% Corpus,3,0.9099999999999999,symmetric,0.3047284610220409
75% Corpus,3,symmetric,0.01,0.30897133792815373
75% Corpus,3,symmetric,0.31,0.3124622065331523
75% Corpus,3,symmetric,0.61,0.2980126665583347
75% Corpus,3,symmetric,0.9099999999999999,0.29451761704460827
75% Corpus,3,symmetric,symmetric,0.29957917231676184
75% Corpus,3,asymmetric,0.01,0.2886897363204446
75% Corpus,3,asymmetric,0.31,0.2886897363204446
75% Corpus,3,asymmetric,0.61,0.28820061932672486
75% Corpus,3,asymmetric,0.9099999999999999,0.2871241253118522
75% Corpus,3,asymmetric,symmetric,0.2886897363204446
75% Corpus,4,0.01,0.01,0.31360112394870254
75% Corpus,4,0.01,0.31,0.3145224423738973
75% Corpus,4,0.01,0.61,0.2952962878278477
75% Corpus,4,0.01,0.9099999999999999,0.2873720952634685
75% Corpus,4,0.01,symmetric,0.30848972244752754
75% Corpus,4,0.31,0.01,0.3023511461539842
75% Corpus,4,0.31,0.31,0.2980981522547615
75% Corpus,4,0.31,0.61,0.2825671814116303
75% Corpus,4,0.31,0.9099999999999999,0.28659986206441246
75% Corpus,4,0.31,symmetric,0.29367473266350047
75% Corpus,4,0.61,0.01,0.3038129424415228
75% Corpus,4,0.61,0.31,0.3058099185603231
75% Corpus,4,0.61,0.61,0.28213609503919324
75% Corpus,4,0.61,0.9099999999999999,0.2988903294549423
75% Corpus,4,0.61,symmetric,0.3063167209814477
75% Corpus,4,0.9099999999999999,0.01,0.30781705584297214
75% Corpus,4,0.9099999999999999,0.31,0.3017866471429296
75% Corpus,4,0.9099999999999999,0.61,0.31425528738066727
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.30308203493279084
75% Corpus,4,0.9099999999999999,symmetric,0.3066391722052758
75% Corpus,4,symmetric,0.01,0.3023511461539842
75% Corpus,4,symmetric,0.31,0.29402061421610504
75% Corpus,4,symmetric,0.61,0.28512888141133796
75% Corpus,4,symmetric,0.9099999999999999,0.28148669527633824
75% Corpus,4,symmetric,symmetric,0.2936747326635005
75% Corpus,4,asymmetric,0.01,0.3151631148340217
